	claim	evidence	label
249	Gezi protestoları ile özdeşleşen Ceyda Sungur'un hayatını kaybettiği iddiası	Ceyda Sungur hayatını kaybetmedi.Eşi gazeteci Fırat Fıstık, Sungur'un sağlığının yerinde olduğunu açıkladı.İddia Nisan 2021'de Olcay Senem'in ölüm haberiyle ortaya atılmış. Senem'in öldüğü belirtilen paylaşımlarda Ceyda Sungur'un fotoğrafı kullanılmış.	yanlış
433	Bir Twitter sayfası tarafından 30 Mayıs 2021 tarihinde yapılan paylaşımda, 29 Mayıs 2021 tarihinde Valide Sultan Gemisi’nde fetih kutlaması yapıldığı iddia edildi. Gönderi 50’den fazla retweet 150’den fazla da beğeni almış.	Bir Twitter kullanıcısı tarafından yapılan paylaşımda 29 Mayıs 2021 tarihinde Boğaz’da fetih kutlamaları yapıldığı iddia edilmişti. Gençlik ve Spor Bakanlığı’na bağlı Gençlik Merkezleri tarafından Instagram’da yapılan paylaşımlar kutlamayı doğruluyor. Üç tarafı açık Valide Sultan Gemisi’nde yapılan kutlamada bulunan flamaların üzerinde ise “Fetih Konserleri 2021” ifadesi yer alıyor.	doğru
19	MEB’in Almanca ders kitabında bir kadının montajla başörtülü gösterildiği iddiası	İddia doğru, görsel montajlanarak oluşturulmuş.	doğru
322	Muhittin Böcek'in su ve toplu taşımaya zam yapıp evde bakım hizmetlerini kaldırdığı iddiası	Antalya Su ve Atıksu İdaresi Genel Müdürlüğü’nün (ASAT) geçen yıl sonunda belirlenen 2019 tarifelerinde bir güncelleme söz konusu değil.Antalya Ulaşım Anonim Şirketi, toplu taşıma fiyatlarını değiştirmemiş. Evde bakım hizmeti ise Antalya Büyükşehir Belediyesi’ne bağlı Sağlık İşleri Müdürlüğü bünyesinde devam ediyor.	yanlış
332	Küba’daki sosyal ve siyasal hayata dair iddialar	Küba’da milletvekilleri ve garsonların aynı ücretleri almıyor.Ülkede tecavüz, adam öldürme ve cinsel istismar gibi suçların işlendiği, kanserin ülkedeki en büyük ölüm sebeplerinden birisi olduğu ve ulaşımın ücret mukabilinde gerçekleştiği söylenebilir.	yanlış
56	Jennifer Lopez’in Atatürk ile ilgili Nazlı Çelik’e söylediği iddia edilen sözler	Röportajda Atatürk’le ilgili bir soru bulunmuyor.Jennifer Lopez’in de böyle bir açıklaması yok.	yanlış
301	‘Birisi kabuk tutmuş yaralarımızı okşamaya’ diye başlayan alıntının Márquez'e ait olduğu iddiası	Yazar Marquez’in Yüzyıllık Yalnızlık isimli kitabında böyle bir alıntı yok.Sözler Ayşe Arman’dan alınıp Aslı Erdoğan’ın değiştirilen hikayesine eklenmiş.	yanlış
229	Twitter hesabının futbolcu Baran Aksaka'ya ait olduğu iddiası	@Baranaksaka8 isimli kullanıcının profilinde parodi hesap olduğu yazıyor.Baran Aksaka’nın onaylı Instagram hesabında farklı bir Twitter adresi bulunuyor.	yanlış
331	Twitter hesabının Prof. Dr. Celal Şengör'e ait olduğu iddiası	@sengorizmfan isimli kullanıcının profilinde parodi hesap olduğu yazıyor.Twitter’da Celal Şengör’ün adını kullanan birden fazla hesap bulunuyor.Aynı Twitter ID numarası ile daha önce oyuncu Oya Başar’ın hesabı taklit edilmiş.Prof. Dr. Celal Şengör’e ait resmi Twitter hesabı bulunmuyor.	yanlış
132	Bir Facebook hesabından 3 Ağustos 2021’de yapılan paylaşıma göre, Supertanker adında bir yangın söndürme uçağının dünyanın en büyük yangın söndürme uçağı olduğu ve kâr getirmediği gerekçesiyle piyasadan çekildiği iddia edildi. Paylaşımı 90 binden fazla kişi beğenmiş ve 24 binden fazla kişi paylaşmış.	Bir Facebook hesabında yapılan paylaşımda Supertanker adında bir yangın söndürme uçağının dünyanın en büyük yangın söndürme uçağı olduğu ve kâr getirmediği gerekçesiyle piyasadan çekildiği iddia edilmişti. Üretici şirketin internet sitesinde yer alan bilgide uçağın 19 bin galon su taşıma kapasitesiyle bu alanda kendisine en yakın uçağın iki katı kadar su taşıyabildiği görülüyor. Fakat CNN’de yer alan habere göre, uçak kâr getirmediği için piyasadan çekilmiş.	doğru
137	Bir Twitter hesabı tarafından 7 Ağustos 2022 tarihinde yapılan paylaşımda BİM Aktüel ürün kataloğunda seans ücreti 200 lira olan psikolog hizmeti yer aldığı iddia edildi. 	Bir Twitter hesabı tarafından yapılan paylaşımda BİM Aktüel ürün kataloğunda seans ücreti 200 lira olan psikolog hizmeti yer aldığı iddia edilmişti. Söz konusu görsel, 12 Ağustos BİM Aktüel kataloğuna ait. Katalog incelendiğinde, erkek bakım setinin dijital olarak değiştirilerek yerine psikolog seansı eklendiği görülüyor.	yanlış
423	Bir Twitter hesabı tarafından 6 Şubat 2023'te yapılan paylaşımda Kahramanmaraş'ta gerçekleşen depremlerin sebebinin Akdeniz'deki ABD gemileri olduğu iddia edildi. 	Bir Twitter hesabı tarafından yapılan paylaşımda 6 Şubat 2023 tarihinde gerçekleşen depremlerin sebebinin ABD gemileri olduğu iddia edilmişti. İddialar ABD'nin HAARP ve benzeri teknolojilerle oldukça büyük depremler oluşturabildiğini öne sürüyor. Depremden önce görüntülenen ABD gemisi USS Nitze’nin 3 Şubat’ta İstanbul’dan geçeceği ve sonraki durağının Gölcük olduğu anlaşılıyor. Geminin takvime uygun olarak Gölcük’e ulaştığı da biliniyor. İstanbul'a İtalya'dab gelen gemi en son 2016'da Yemen'de çatışmaya girmiş. O tarihten bu yana da barış kapsamında çeşitli ziyaret ve görevlerde yer almış. Geminin Türkiye'de bulunma sebebi ise, NATO ittifakının güçlendirilmesi. HAARP ya da benzeri herhangi bir yöntemle  ‘sinyaller gönderilerek’ depremlerin tetiklenebileceği ya da eşit derecede ‘yüksek ve gizli teknolojilerle’ önceden tahmin edilebileceği iddialarının herhangi bir bilimsel karşılığı yok, bu teoriler için sunulan kanıtlar gerçek olmadığı gibi aksini ispat eden bilimsel araştırmalar fazla sayıda mevcut.	yanlış
335	2012 Londra Olimpiyatları'nın açılış gösterisinin Covid-19 salgınını betimlediği iddiası	"Resmi internet sitesi, töreninin bu bölümünü ""NHS ve Londra’daki Great Ormond Street Çocuk Hastanesi ile birlikte 'Britanya çocuk edebiyatına saygı sunan, İngiliz tarihi ve kültürünün kutlaması"" diye tanımlıyor.Gösteri İngiliz çocuk edebiyatında yer alan Kaptan Hook, Cruella De Vil, Kalplerin Kraliçesi ve Voldemort gibi kötü karakterlerin de dahil olduğu bir konseptle tasarlandı.Devasa siyah kukla, Harry Potter’daki kötü karakter Valdemort."	yanlış
25	Bir Facebook hesabı tarafından 26 Temmuz 2022 tarihinde yapılan paylaşımda Türkiye’nin dünyadaki incir üretiminin %26’sını üstlendiği ve bu alanda açık ara dünya lideri olduğu iddia edildi. 	İddiada yer alan %26 oranı ile FAO verilerinden elde edilen %25 oranı arasında kayda değer bir fark yok. Bu nedenle, iddiayı ortaya atan Facebook kullanıcısının, Türkiye’nin dünyadaki incirin %26’sını ürettiği iddiası, Birleşmiş Milletler Gıda ve Tarım Örgütü’nün en güncel istatistiklerine göre doğru.	doğru
464	Virüs taşıyan On est tous Paris başlıklı e-posta iddiası	İddia Fransa kaynaklı ve 2015'e dayanıyor.Savunma Bakanlığı'nın böyle bir açıklaması ya da uyarısı yok.Franceinto sitesinde yer alan haberde de bu yönde mail alan kimsenin olmadığı, haberin “söylenti” olabileceği belirtiliyor.	yanlış
281	Hayatını kaybeden genç kıza cenaze aracı şoförünün tecavüz ettiği iddiası	Bu haberin yer aldığı güvenilir bir kaynağa ulaşılamadı.Haber sitesinin alan adını beş gün önce aldığı görülüyor.2016 yılında benzer bir yalan haberi ortaya atan halkmedia.com ve Aleyna G. isimli genç kızın tecavüze uğradığı iddiasını ortaya atan halkarena.com’un kurucusunun Kadir Çini isimli birisi olduğu tespit edildi.	yanlış
247	Bir Twitter hesabı tarafından 23 Mayıs 2022 tarihinde yapılan paylaşımda, World Economic Forum’un (WEF) kendi polis gücüne sahip olduğu iddia edildi. 	Bir Twitter hesabı tarafından yapılan paylaşımda WEF’in kendi polis gücünün olduğu iddia edilmişti. Ancak World Economic Forum’un (WEF), her yıl İsviçre’nin Grabünden kantonundaki Davos kasabasında düzenlediği ve çeşitli sektörlerden liderlerin bir araya geldiği yıllık toplantısı İsviçre’nin Graubünden Eyaleti’ne bağlı devletin polis gücü ile korunuyor. WEF’e ait ise özel bir polis gücü bulunmuyor. Polislerin kollarındaki “World Economic Forum” yazan rozetler ise her sene etkinliğe özel olarak tasarlanıyor ve yalnızca toplantı süresince toplantıda görevli polisler tarafından kullanılıyor.	yanlış
237	Milli Piyango çekilişinde numaraların açıklanmadan sonucun belli olduğu iddiası	Milli Piyango çekilişleri noter huzurunda rastgele topların seçilmesi ile gerçekleşiyor.Videonun orijinalinde alt bant bulunmuyor.Hürriyet tarafından paylaşılan videoya alt bant sonradan dijital yöntemlerle eklenmiş.	yanlış
117	Bir Facebook hesabının paylaştığı gönderide bulunan belgenin Ekrem İmamoğlu’nun masonluk diplomasını gösterdiği iddia edildi.	Bir Facebook hesabının paylaştığı gönderide yer alan belgenin Ekrem İmamoğlu’nun mason locası diploması olduğu iddia edilmişti. Yapılan araştırmada belgenin görsel manipülasyon teknikleriyle değiştirildiği anlaşılıyor. 1995’e ait olduğu iddia edilen belgede kullanılan İmamoğlu fotoğrafı 2013’te çekilmiş. Belgenin orijinali, 2019’da bizzat belgenin sahibi olan Hürol Taşdelen tarafından kişisel blog sitesinde paylaşılmış. İddiaların ayyuka çıkması üzerine Taşdelen iddiaları yalanlamış ve belgenin orijinalini tekrar yayımlamış.	yanlış
42	Sayıştay’ın 2019 yılındaki raporunda, Amasra’daki madenle ilgili ‘risk uyarısı’ olduğu iddiası	Sayıştay’ın 2019 Türkiye Taşkömürü Kurumu Amasra TİM denetim raporuna göre Amasra’daki madende degaj (patlama) riski bulunuyor.Raporda, Kurum Degaj Yönergesi’ne göre önlem alınması gerektiği yazıyor.Kurum Degaj Yönergesi’nde bulunan olması gereken damar gaz içeriği miktarıyla Amasra’daki madende 2019 yılında bulunan gaz içeriği miktarları karşılaştırıldığında degaj riski olduğu anlaşılıyor.	doğru
220	Soruların bekçi alımı için yapılan sınavda sorulduğu iddiası	Sorular 2019 yılındaki Çarşı ve Mahalle Bekçiliği sınav kitapçığında yer alıyor.Bekçilik alımı için yapılan yazılı sınavda sorular Milli Eğitim Bakanlığı Ölçme, Değerlendirme ve Sınav Hizmetleri Genel Müdürlüğü tarafından hazırlanıyor.	doğru
176	İranlı çiftin sosyal medya paylaşımları nedeniyle hapis cezasına çarptırıldığı iddiası	Ahmet Min Şirazi, verilen cezayı altı hafta önce sosyal medya hesabından doğruladı.Konu hakkında yerel ve uluslararası basın kuruluşlarında haberler yayınlandı.	doğru
320	Kira ödenmediğinde sözleşmenin feshedilemeyeceği iddiası	Mecliste Mart ayında kabul edilerek kanunlaşan düzenleme, yalnız işyerleri için geçerli.Hali hazırda konut kiracıları için yapılmış bir düzenleme bulunmuyor.	yanlış
153	AB'nin Sinovac aşısı olanlara Schengen vizesi vermeme kararı aldığı iddiası	Toplantıda vize konusu gündeme gelmedi.Schengen vizesi başvuru prosedürlerinde değişiklik talebinde bulunulmadı.Toplantıda gündeme gelen dijital aşı sertifikası henüz yasallaşmadı, yasalaşsa da sadece AB içi seyahatleri kapsayacak.Dijital aşı sertifikası, herhangi bir Covid-19 aşısı olunduğunda alınabiliyor.	yanlış
231	Bir Twitter hesabı tarafından 9 Nisan 2022 tarihinde yapılan bir paylaşımda, CNN’in Elon Musk ile ilgili yaptığı bir haberde Elon Musk’ın Twitter’da ifade özgürlüğünü tehlikeye atabileceği iddia edildi.	Bir Twitter hesabı tarafından yapılan bir paylaşımda, CNN’in Elon Musk ile ilgili yaptığı bir haberde Elon Musk’ın Twitter’da ifade özgürlüğünü tehlikeye atabileceği iddia edilmişti. ‘Haber’ parodi içerikler üreten bir haber sitesinde yayımlanmış ve daha sonra CNN’in gerçekten böyle bir haber yaptığı iddiasıyla başka platformlarda paylaşılmış. Fakat, CNN’e ait hiçbir platformda bu ‘habere’ rastlanmıyor ve bir CNN yetkilisi de Reuters’e böyle bir haber olmadığını belirtmiş.	yanlış
227	Bir Instagram hesabı tarafından 13 Haziran 2023 tarihinde yapılan paylaşımda Aydın Çıldır, Balıkesir Merkez, Çanakkale Gökçeada ve Uşak havalimanlarında 2023 yılında yolcu trafiği gerçekleşmediği iddia edildi.	Bir Instagram hesabı tarafından Aydın Çıldır, Balıkesir Merkez, Çanakkale Gökçeada ve Uşak havalimanlarında 2023 yılında yolcu trafiği olmadığı iddia edilmişti. Aydın Çıldır Havalimanı 2013 yılından bu yana eğitim amaçlı kullanılmakta ve herhangi bir yolcu trafiği yok. Balıkesir Merkez, Çanakkale Gökçeada ve Zafer havalimanlarında da 2023’ün ilk beş ayında herhangi bir yolcu trafiği bulunmadığı DHMİ’nin istatistiklerinden görülüyor.	doğru
417	Astronot Buzz Aldrin'in Ay’a aslında hiç gitmediklerini itiraf ettiği iddiası	Buzz Aldrin’in Ay’a aslında hiç gitmediklerini söylemedi.Aldrin, “uzun süredir niçin Ay’a tekrar gidilmediği” sorusu üzerine NASA’nın başka projelere yöneldiğini ve Ay ile ilgili projelerde paranın önemli bir faktör olduğunu söylüyor.	yanlış
203	Araştırma aşıyı değil, iklim değişikliğini sebep gösteriyor	İddiaya kaynak olarak, Amerikan Kalp Derneği Dergisi’nde 30 Ocak 2019’da yayımlanan araştırma gösterilmiş. Söz konusu araştırma, pandemiden neredeyse bir yıl önce yayımlanmış. Araştırmada bebeklerdeki kalp kusurları, ‘iklim değişikliği etkeni’ çerçevesinde incelenmiş. Özellikle hamilelikte maruz kalınan yüksek sıcaklıklara vurgu yapılmış.	yanlış
126	Afyonkarahisar'da İYİ Partili Mahmut Koçak’ın pankartının kapatıldığı iddiası	Teyit, İYİ Parti yetkilileri ile yaptığı görüşmede pankartın Afyonkarahisar emniyetinden gelen ve YSK’nın 1 Mart 2019’a kadar afiş ve pankart asma yasağına istinaden yapılan istek sonrasında kendileri tarafından kapatıldığı bilgisine ulaştı.Cumhurbaşkanı Erdoğan’ın Afyonkarahisar’da açılış gerçekleştirdiği sırada AK Parti bayraklarının şehirde asılı olduğu da fark edilebiliyor.Mahmut Koçak da basın toplantısında konu hakkında açıklamalarda bulundu.	doğru
329	Türkiye’nin koronavirüsle mücadele için Filistin’e 5 milyon dolar yardımda bulunduğu iddiası	26 Haziran 2020’de Resmi Gazete’de yayımlanarak yürürlüğe giren anlaşma gereği Türkiye Filistin’e 5 milyon dolar değerinde nakdi hibe yollayacak.	doğru
31	Singapur’da tren camlarının binalara gelince matlaştığı iddiası	Singapur’un toplu taşıma sisteminde matlaşan camlar uzun süredir kullanılıyor.Camlar yerleşim bölgelerine yaklaşınca otomatik olarak matlaşıyor.Hafif raylı sistemde yer alan bu özellik mahremiyeti korumak için tasarlanmış.	doğru
113	DSÖ’nün Biden göreve geldikten hemen sonra PCR testlerinin yanlış pozitif sonuç verdiğini açıkladığı iddiası	DSÖ’nün açıklaması laboratuvar çalışanlarına testlerle birlikte gelen kullanıcı kılavuzlarını dikkatle okumalarını hatırlatan bir bilgi notu, açıklama değil.Notta PCR testlerinin yanlış pozitif sonuç verme olasılığının daha yüksek olduğu gibi bir bilgi yer almıyor.	yanlış
470	Oy pusulası içe katlandığında oyun geçersiz sayılacağı iddiası	Mührün bir başka adayın kısmında leke bırakması oyu geçersiz kılmıyor.298 sayılı kanunun 102. maddesinin birinci fıkrasında, mührün vurulduğu adayın kesin olarak anlaşıldığı oy pusulularının sayımda hesaba katılacağı hükmü yer alıyor.YSK’nin 135 sayılı genelgesinde mühür izinin oy pusulasının diğer kısımlara geçmesiyle oy pusulasının geçersiz olmadığı belirtiliyor.Teyit’in ulaştığı CHP YSK yetkilisi Hadimi Yakupoğlu ve İyi Parti YSK yetkilisi Mustafa Tolga Öztürk, oy pusulasının içe katlanması halinde oluşabilecek bulaşmanın oyu geçersiz kılmayacağını belirtti.	yanlış
271	Fay hatlarının, yayıldığı ve farklı bölgelerdeki şehirlerde depreme neden olacağı iddiası	AFAD’ın medya kanallarında bu şekilde bir duyuru bulunmuyor.İddiada yer alan şehirler farklı fay hatlarında bulunuyor.Boğaziçi Üniversitesi Kandilli Rasathanesi ve Deprem Araştırmaları Enstitüsü Müdürü Prof. Dr. Haluk Özener, benzeri iddiaların teoride dahi doğru olmadığını belirtti.Jeofizik Mühendisi Prof. Dr. Övgün Ahmet Ercan da Kahramanmaraş’taki depremin İzmir, İstanbul, Eskişehir gibi farkı fay hatlarındaki şehirleri etkilemeyeceğini doğruladı.“Fay hatları” terimi kullanılarak yapılan deprem iddiaları doğru değil. Bu gibi dezenformasyonlardan kaçınmak için yalnızca resmi kaynaklardan yapılan paylaşımları dikkate almak gerekir.	yanlış
140	Oy pusulası zarfının ıslatılarak kapatılması durumunda oyların geçersiz sayılacağı iddiası	Zarfın ıslatılarak kapatılması oyu geçersiz kılmıyor.Aynı şekilde oy sayımında zarfın bu sebepten kazaen yırtılması durumunda da oyunuz geçerli.CHP ve İyi Parti YSK temsilcileri de zarfın ıslatılarak kapatılması veya kazayla yırtılması durumlarının oyu geçersiz kılmayacağını söyledi.	yanlış
57	Bir Twitter hesabı tarafından 2 Haziran 2022 tarihinde yapılan paylaşımda Konya’daki tarihi tren garının restorasyon sonucu yıkılıp, yerine yenisinin yapıldığı iddia edildi. 	Bir Twitter hesabı tarafından 2 Haziran 2022 tarihinde yapılan paylaşımda Konya’daki tarihi tren garının restorasyon sonucu yıkılıp, yerine yenisinin yapıldığı iddia edilmişti. Yapılan yeni gar binası tarihi olanın yerine değil, yanına yapılmış. Hızlı trenin Konya’ya gelmesiyle birlikte tarihi gar VIP bekleme salonu olarak hizmet veriyor.	yanlış
192	Star TV'nin Etnospor Kültür Festivali için '16 ülkeden 10 sporcu katılıyor' şeklinde alt bant kullandığı iddiası	Star TV’nin yayını izlendiğinde de sunucunun sporcu sayısı için “yaklaşık bin” ifadesini kullandığı anlaşılıyor.Yani söz konusu alt bandın bir yazım hatası sonucunda kullanıldığını söylemek mümkün.	doğru
